model_name,training_phase,intermediate_checkpoint,add_bos_token,fewshot_as_multiturn,chat_template,training_steps,training_tokens,training_steps_in_phase,training_tokens_in_phase,benchmark,dataset,score,stderr,score_name,num_fewshot,"acc,none","acc_stderr,none","acc_norm,none","acc_norm_stderr,none","exact_match,strict-match","exact_match_stderr,strict-match","exact_match,flexible-extract","exact_match_stderr,flexible-extract","bleu_max,none","bleu_max_stderr,none","bleu_acc,none","bleu_acc_stderr,none","bleu_diff,none","bleu_diff_stderr,none","rouge1_max,none","rouge1_max_stderr,none","rouge1_acc,none","rouge1_acc_stderr,none","rouge1_diff,none","rouge1_diff_stderr,none","rouge2_max,none","rouge2_max_stderr,none","rouge2_acc,none","rouge2_acc_stderr,none","rouge2_diff,none","rouge2_diff_stderr,none","rougeL_max,none","rougeL_max_stderr,none","rougeL_acc,none","rougeL_acc_stderr,none","rougeL_diff,none","rougeL_diff_stderr,none","rouge1,none","rouge1_stderr,none","f1,none","f1_stderr,none","exact,none","exact_stderr,none","is_included,none","is_included_stderr,none","inst_level_loose_acc,none","inst_level_loose_acc_stderr,none","inst_level_strict_acc,none","inst_level_strict_acc_stderr,none","prompt_level_loose_acc,none","prompt_level_loose_acc_stderr,none","exact_match,none","exact_match_stderr,none","prompt_level_strict_acc,none","prompt_level_strict_acc_stderr,none"
CroissantLLMBase,main,,False,False,False,,3000000000000.0,,,fr_leaderboard,leaderboard_bbh_compréhension_de_la_date,0.188,0.02476037772775051,"acc_norm,none",3.0,,,0.188,0.02476037772775051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CroissantLLMBase,main,,False,False,False,,3000000000000.0,,,fr_leaderboard,leaderboard_bbh_compréhension_des_sports,0.46,0.031584653891499,"acc_norm,none",3.0,,,0.46,0.031584653891499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CroissantLLMBase,main,,False,False,False,,3000000000000.0,,,fr_leaderboard,leaderboard_bbh_comptage_d_objets,0.068,0.01595374841074702,"acc_norm,none",3.0,,,0.068,0.01595374841074702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CroissantLLMBase,main,,False,False,False,,3000000000000.0,,,fr_leaderboard,leaderboard_bbh_déduction_logique_cinq_objets,0.22,0.026251792824605845,"acc_norm,none",3.0,,,0.22,0.026251792824605845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CroissantLLMBase,main,,False,False,False,,3000000000000.0,,,fr_leaderboard,leaderboard_bbh_déduction_logique_sept_objets,0.136,0.021723342617052065,"acc_norm,none",3.0,,,0.136,0.021723342617052065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CroissantLLMBase,main,,False,False,False,,3000000000000.0,,,fr_leaderboard,leaderboard_bbh_déduction_logique_trois_objets,0.36,0.030418764025174978,"acc_norm,none",3.0,,,0.36,0.030418764025174978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CroissantLLMBase,main,,False,False,False,,3000000000000.0,,,fr_leaderboard,leaderboard_bbh_désambiguïsation_qa,0.372,0.030630325944558313,"acc_norm,none",3.0,,,0.372,0.030630325944558313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CroissantLLMBase,main,,False,False,False,,3000000000000.0,,,fr_leaderboard,leaderboard_bbh_expressions_booléennes,0.46,0.031584653891499004,"acc_norm,none",3.0,,,0.46,0.031584653891499004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CroissantLLMBase,main,,False,False,False,,3000000000000.0,,,fr_leaderboard,leaderboard_bbh_formes_géométriques,0.084,0.017578738526776324,"acc_norm,none",3.0,,,0.084,0.017578738526776324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CroissantLLMBase,main,,False,False,False,,3000000000000.0,,,fr_leaderboard,leaderboard_bbh_hyperbate,0.436,0.03142556706028128,"acc_norm,none",3.0,,,0.436,0.03142556706028128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
